Unnamed: 0,0,1,2,3,4,5,6,7
12,"APPLE iPhone 14 Plus (Purple, 128 GB)","3.94,460 Ratings & 546 Reviews",128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor",,"₹77,999₹89,90013% offFree deliveryDaily SaverUpto ₹61,000 Off on Exchange"
13,MarQ by Flipkart M70 Shakti,"3.914,674 Ratings & 943 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) QVGA Display,0.3MP Rear Camera,3000 mAh Li-ion Battery,,"₹1,599Free deliveryUpto ₹1,050 Off on ExchangeBank Offer"
14,Kechaoda K10,"4.61,90,310 Ratings & 12,877 Reviews",32 MB RAM | 32 MB ROM,1.68 cm (0.66 inch) NA Display,300 mAh Battery,1 Year Manufacturer Warranty,,"₹1,080₹1,29016% offFree deliveryBank Offer"
15,"APPLE iPhone 12 (White, 128 GB)",4.138 Ratings & 2 Reviews,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,Industry-leading IP68 Water Resistance,"₹58,999₹64,9009% offFree deliveryUpto ₹53,000 Off on ExchangeBank Offer"
16,Cellecor E3+,468 Ratings & 9 Reviews,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,4.57 cm (1.8 inch) Display,0.8MP Rear Camera,1000 mAh Battery,,"₹1,034₹1,74940% offFree deliveryDaily SaverBank Offer"
17,SAREGAMA Carvaan Mobile Hindi Don M12 with 1000 Pre-Loaded Songs,"4.35,620 Ratings & 805 Reviews",32 MB RAM | 1.30 GB ROM,4.57 cm (1.8 inch) Display,800 mAh Battery,12 months warranty against manufacturing defects,,"₹1,750Free deliveryBank Offer"
18,"Google Pixel 7 (Obsidian, 128 GB)","4.131,534 Ratings & 2,360 Reviews",8 GB RAM | 128 GB ROM,16.0 cm (6.3 inch) Full HD+ Display,50MP + 12MP | 10.8MP Front Camera,4270 mAh Battery,1 Year Domestic Warranty,"₹49,999₹59,99916% offFree deliveryUpto ₹49,000 Off on ExchangeBank Offer"
19,Kechaoda K115,3.4492 Ratings & 42 Reviews,32 MB RAM | 32 MB ROM,3.66 cm (1.44 inch) QVGA Display,0.3MP Rear Camera,850 mAh Battery,,₹899Free deliveryBank Offer
20,HOTLINE H312,"3.83,194 Ratings & 304 Reviews",32 MB RAM | 32 MB ROM,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,1000 mAh Battery,,₹649₹99935% offFree deliveryBank Offer
21,Nokia 215 4G DS 2020,"4.357,471 Ratings & 3,897 Reviews",64 MB RAM | 128 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) QVGA Display,1150 mAh Lithium-ion Battery,Unisoc Processor,,"₹3,499₹3,5992% offFree deliveryBank Offer"
22,"Redmi 6A (Black, 16 GB)",3.6869 Ratings & 62 Reviews,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.84 cm (5.45 inch) Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Battery,,"₹6,408₹6,9998% offFree deliveryBank Offer"
0,"REDMI Note 10 Lite (Glacier White, 128 GB)","4.31,048 Ratings & 77 Reviews",6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Display,48MP Rear Camera,5020 mAh Battery,,"₹13,680₹19,99931% offFree deliveryHot DealBank Offer"
1,KARBONN KX3S,3.798 Ratings & 7 Reviews,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,4.57 cm (1.8 inch) FWVGA Display,0.03MP + 0.03MP | 0MP Front Camera,1000 mAh Battery,1 year manufacturer defect,"₹1,070₹1,19010% offFree deliveryBank Offer"
2,Good One 5026,"3.91,508 Ratings & 310 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,4.57 cm (1.8 inch) Display,2MP Rear Camera,2500 mAh Battery,,"₹1,099₹1,99945% offFree deliveryBank Offer"
3,"OPPO A57 (Glowing Green, 64 GB)","4.43,388 Ratings & 156 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.66 cm (6.56 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"₹13,999₹16,99017% offFree deliveryNo Cost EMI from ₹4,667/monthBank Offer"
