maker,product_name,color,num_reviews,ratings_new,num_ratings_new,RAM(GB),ROM(GB),Expandable_ROM(GB),Display_Size(cm),Display_type,Rear_Camera(MB),Front_Camera(MB),Battery_Backup(mAh),Price(₹),Rear_Dual_Camera
OPPO,Reno10,Ice Blue,1288,4.3,7930,8,256,0,17.02,Full HD+ Display,64,32 ,5000,32999,0
Nokia,105,0,1565,4.2,16746,0.00390625,0.00390625,0,4.57,Display,03,0,1000,1549,0
Good,One,0,499,3.9,2954,0.03125,0.03125,32,4.57,Display,2,0,2500,999,0
Jmax,J30,0,35,3.6,466,0.03125,0.03125,0,4.57,Display,2,0,1050,699,0
REDMI,A2,Sea Green,90,4.1,1531,4,64,0,16.56,Display,8,0,5000,7368,0
Infinix,Zero,Pearly White,667,4.1,6528,8,128,256,17.22,Full HD+ Display,50,16 ,5000,14999,0
SAMSUNG,Galaxy,Berry Blue,175,4.2,2378,6,128,0,16.76,Display,50,0,6000,15186,0
Nokia,105,0,1565,4.2,16746,0.00390625,0.00390625,0,4.57,Display,03,0,1000,1549,0
REDMI,12C,Matte Black,98,4.2,1774,4,64,0,17.04,Display,50,0,5000,8620,0
realme,11,Astral Black,37,4.2,427,12,256,0,17.02,Full HD+ Display,100,16 ,5000,27999,0
SAMSUNG,Galaxy,B.A.E. Purple,859,4.2,11408,4,128,1024,16.76,Full HD+ Display,50,13 ,6000,13990,0
Kechaoda,A26,0,1150,4.0,17270,0.03125,0.03125,16,1.68,Display,0,0,0,998,0
A10E,0,0,120,4.1,1624,0.00390625,0.03125,0,4.57,Display,0,0,0,1399,0
POCO,M4,Power Black,6283,4.2,90958,4,64,512,16.71,Full HD+ Display,50,8 ,5000,12999,0
realme,Narzo,Mars Orange,3,4.1,116,8,128,0,16.33,Display,64,0,5000,18257,0
SAMSUNG,Galaxy,Copper Blush,15627,4.3,204853,6,128,1024,16.76,Full HD+ Display,50,8 ,5000,16999,0
Good,One,0,497,3.9,2954,0.03125,0.03125,32,4.57,Display,2,0,2500,999,0
LAVA,Hero,0,87,4,1501,0.00390625,0.0029296875,32,4.57,QVGA Display,0,0,0,898,0
Jmax,J30,0,33,3.6,466,0.03125,0.03125,0,4.57,Display,2,0,1050,699,0
GFive,U106,0,199,3.5,2467,0.03125,0.0625,16,4.57,Display,3,0,950,725,0
REDMI,12C,Royal Blue,98,4.2,1774,4,128,1024,17.04,HD+ Display,50,5 ,5000,9388,0
realme,11,Astral Black,1977,4.3,21472,8,128,0,17.02,Full HD+ Display,100,16 ,5000,23999,0
Kechaoda,K55,0,11,3.8,318,0.03125,0.0625,0,4.57,Quarter QVGA Display,3,0,400,1160,0
SAMSUNG,Galaxy,Forest Green,15627,4.3,204853,6,128,1024,16.76,Full HD+ Display,50,8 ,5000,16999,0
realme,C30,Bamboo Green,5706,4.2,107613,2,32,1024,16.51,HD+ Display,8,5 ,5000,5999,0
Nokia,150,0,1922,4.2,20605,0.00390625,0.00390625,0,6.1,Display,3,0,1450,3149,0
LAVA,A1,0,1922,4.2,20605,0.00390625,0.0234375,32,4.5,Display,3,0,800,1049,0
LAVA,A1,0,497,3.9,2954,0.00390625,0.0234375,32,4.5,Display,3,0,800,1159,0
Micromax,X708,0,242,3.9,3503,0.03125,0.03125,0,6.1,Display,3,0,1450,1335,0
